dataset,suite,model,seed,kind,device,wall_s,budget,split,acc,bacc,logloss,auroc,brier,ece,smece
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,20,id,0.8178,0.8113558645849919,0.39228341892456237,0.9006390782089608,0.1259145737608581,0.01905817041516902,0.018829668637384375
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,20,ood,0.675890199536986,0.7495482548201748,0.5916327567819047,0.8379456464917064,0.20531874054576607,0.2959239741694295,0.2957067010514241
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,30,id,0.8178,0.8113558645849919,0.39228341892456237,0.9006390782089608,0.1259145737608581,0.01905817041516902,0.018829668637384375
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,30,ood,0.675890199536986,0.7495482548201748,0.5916327567819047,0.8379456464917064,0.20531874054576607,0.2959239741694295,0.2957067010514241
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,0,id,0.8139,0.8088702152087557,0.4002806584268209,0.8953847833609139,0.12887700337889318,0.01538726940183259,0.015274814452507989
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,0,ood,0.7068680410098115,0.7622937758897803,0.5685848665764067,0.8360786723716802,0.1946495188078024,0.2718391021282214,0.27176481027467697
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,5,id,0.8126,0.8055987971724958,0.40796270341039625,0.8937280303269008,0.13046137896544943,0.027183159091267197,0.026118368926184455
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,5,ood,0.7070885238672693,0.7610428237509259,0.5439339670149299,0.8430975156835314,0.18745158240854976,0.28105411815205567,0.2808246179602428
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,10,id,0.8108,0.8046126578192503,0.40002307870934506,0.8954945476228046,0.12853958510628363,0.012146044744931056,0.01579820905464269
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,10,ood,0.7016866938595524,0.7575633987953633,0.5760989149841643,0.8377754088075953,0.19694857789626558,0.2811722945282386,0.28094455513680405
