dataset,suite,model,seed,kind,device,wall_s,split,acc,bacc,auroc,logloss,brier,ece,smece,optimism_gap,acc_degradation
acs_income_ca2sd,whyshift,catb,0,gbdt,cpu,174.2,id,0.8116,0.8046199054510135,0.8947803229799496,0.39932695641214067,0.12919271908582006,0.015783460167636935,0.016049888345095235,-0.0024746426915336905,
acs_income_ca2sd,whyshift,catb,0,gbdt,cpu,174.2,ood,0.7189222290263318,0.7367483906314203,0.8285394694790668,0.5324312715039177,0.18186713442500607,0.16833464254371278,0.16870333853863934,,0.09267777097366814
acs_income_ca2sd,whyshift,catb,1,gbdt,cpu,175.9,id,0.8139,0.8083518838461028,0.8943909271380158,0.40068311361984804,0.12940150609981205,0.016307250233909037,0.0164394203879907,-0.005677819672355033,
acs_income_ca2sd,whyshift,catb,1,gbdt,cpu,175.9,ood,0.7068789548887529,0.7444521805739448,0.8314827919733642,0.5455950891943867,0.18792499985698358,0.18218860290009412,0.18434442065632306,,0.1070210451112471
acs_income_ca2sd,whyshift,catb,2,gbdt,cpu,159.4,id,0.8168,0.8107353899112302,0.8942982875654484,0.40286997454784007,0.12945163372363389,0.01382143885868471,0.016537141135526682,-0.0007182521809004916,
acs_income_ca2sd,whyshift,catb,2,gbdt,cpu,159.4,ood,0.713410900183711,0.7472596980626702,0.8300218048939686,0.5392258554241458,0.1850060766966752,0.1783529873955803,0.17813134589872295,,0.10338909981628897
acs_income_ca2sd,whyshift,catb,3,gbdt,cpu,167.0,id,0.819,0.8113469533370721,0.901083690256155,0.39266081720239543,0.12567539443889353,0.022749038899293826,0.022247080268681958,-0.012628451150426712,
acs_income_ca2sd,whyshift,catb,3,gbdt,cpu,167.0,ood,0.7246376811594203,0.7485209408148046,0.8288219650276217,0.5290637314975922,0.18078048965439447,0.16894558097999857,0.1686802318995173,,0.09436231884057966
acs_income_ca2sd,whyshift,catb,4,gbdt,cpu,176.1,id,0.8158,0.8097320804535217,0.894176117625741,0.4020858663261325,0.12915885196825325,0.01228853781991978,0.013354178823011252,-0.0006001417795092334,
acs_income_ca2sd,whyshift,catb,4,gbdt,cpu,176.1,ood,0.718513982445397,0.7478979287464427,0.8297451220110217,0.5331983253651139,0.18285716031584945,0.1700987698493736,0.1718634684494876,,0.09728601755460298
acs_income_ca2sd,whyshift,lgbm,0,gbdt,cpu,244.6,id,0.8134,0.8060061040457853,0.8950247408681964,0.3995594098329457,0.1286360311838886,0.01757166062671236,0.01651017571932675,-0.0028164390169967968,
acs_income_ca2sd,whyshift,lgbm,0,gbdt,cpu,244.6,ood,0.7164727495407226,0.7329275669999543,0.8234803367034113,0.532150689744891,0.18104420111262456,0.16241361130045753,0.16210155952312227,,0.09692725045927741
acs_income_ca2sd,whyshift,lgbm,1,gbdt,cpu,167.0,id,0.8145,0.809493155691408,0.8965184563758388,0.3975216038563644,0.12823124897343197,0.018528091502643833,0.017610587553981906,-0.004067011723700997,
acs_income_ca2sd,whyshift,lgbm,1,gbdt,cpu,167.0,ood,0.7125944070218412,0.7486052773085372,0.8333649330972758,0.5385174061748305,0.1862149348362804,0.1774808196257526,0.17713042589698352,,0.10190559297815882
acs_income_ca2sd,whyshift,lgbm,2,gbdt,cpu,167.6,id,0.8185,0.8123628909228888,0.8962457742037389,0.39952914689937663,0.12809455263948957,0.011988565036674972,0.014462902821035224,0.0033798367364878956,
